n,pattern,seed,policy,L,rho,tau,C_N_online,c_star_N,r,r_star,r_ss,n_feasible,k,core_nonempty,core_epsilon,theorem11_applicable,theorem11_fires,r_sss,empty_mechanism
7,A,256,nearest_neighbor,2.6458,inf,0.0,7.7247,6.5444,1.1804,3.2983,1.1715,127,7,False,0.311385,True,True,1.1248468780807472,single_complement
7,A,256,cheapest_insertion,2.6458,inf,0.0,6.5444,6.5444,1.0,3.2983,1.1715,127,7,True,-0.561069,True,False,1.1248468780807472,core_nonempty
7,A,256,batch_reoptimize,2.6458,inf,0.0,6.5444,6.5444,1.0,3.2983,1.1715,127,7,True,-0.561069,True,False,1.1248468780807472,core_nonempty
7,B_heavy,7,nearest_neighbor,2.6458,4.0,0.1781,8.5497,8.2041,1.0421,3.3917,1.2491,127,7,True,-0.502115,True,False,1.1135284686045142,core_nonempty
7,B_heavy,7,cheapest_insertion,2.6458,4.0,0.1781,9.2814,8.2041,1.1313,3.3917,1.2491,127,7,False,0.125062,True,False,1.1135284686045142,balanced_complement
7,B_heavy,7,batch_reoptimize,2.6458,4.0,0.1781,8.5497,8.2041,1.0421,3.3917,1.2491,127,7,True,-0.502115,True,False,1.1135284686045142,core_nonempty
7,B_heavy,42,nearest_neighbor,2.6458,4.0,0.1781,9.4339,8.2919,1.1377,3.7104,1.1279,127,7,False,0.040607,True,True,1.134200996709929,single_complement
7,B_heavy,42,cheapest_insertion,2.6458,4.0,0.1781,9.3166,8.2919,1.1236,3.7104,1.1279,127,7,True,-0.018057,True,False,1.134200996709929,core_nonempty
7,B_heavy,42,batch_reoptimize,2.6458,4.0,0.1781,9.3166,8.2919,1.1236,3.7104,1.1279,127,7,True,-0.018057,True,False,1.134200996709929,core_nonempty
7,B_heavy,99,nearest_neighbor,2.6458,4.0,0.1781,9.9986,7.838,1.2757,3.8005,1.2023,127,7,False,1.014158,True,True,1.1247064406252514,single_complement
7,B_heavy,99,cheapest_insertion,2.6458,4.0,0.1781,9.0444,7.838,1.1539,3.8005,1.2023,127,7,False,0.217483,True,False,1.1247064406252514,near_complement
7,B_heavy,99,batch_reoptimize,2.6458,4.0,0.1781,8.8941,7.838,1.1347,3.8005,1.2023,127,7,False,0.092165,True,False,1.1247064406252514,near_complement
7,B_heavy,123,nearest_neighbor,2.6458,4.0,0.1781,9.4027,7.8694,1.1948,3.5295,1.2448,127,7,False,0.735916,True,False,1.085747177475105,balanced_complement
7,B_heavy,123,cheapest_insertion,2.6458,4.0,0.1781,8.442,7.8694,1.0728,3.5295,1.2448,127,7,True,-0.087523,True,False,1.085747177475105,core_nonempty
7,B_heavy,123,batch_reoptimize,2.6458,4.0,0.1781,8.442,7.8694,1.0728,3.5295,1.2448,127,7,True,-0.087523,True,False,1.085747177475105,core_nonempty
7,B_heavy,256,nearest_neighbor,2.6458,4.0,0.1781,9.3998,6.5444,1.4363,3.2983,1.1715,127,7,False,1.74718,True,True,1.1248468780807472,single_complement
7,B_heavy,256,cheapest_insertion,2.6458,4.0,0.1781,7.3601,6.5444,1.1246,3.2983,1.1715,127,7,True,-0.001153,True,False,1.1248468780807472,core_nonempty
7,B_heavy,256,batch_reoptimize,2.6458,4.0,0.1781,7.3601,6.5444,1.1246,3.2983,1.1715,127,7,True,-0.001153,True,False,1.1248468780807472,core_nonempty
7,B_medium,7,nearest_neighbor,2.6458,2.0,0.3562,8.5497,8.2041,1.0421,3.3917,1.2491,95,6,True,-0.849183,True,False,,core_nonempty
7,B_medium,7,cheapest_insertion,2.6458,2.0,0.3562,9.2814,8.2041,1.1313,3.3917,1.2491,95,6,True,-0.483329,True,False,,core_nonempty
7,B_medium,7,batch_reoptimize,2.6458,2.0,0.3562,8.5497,8.2041,1.0421,3.3917,1.2491,95,6,True,-0.849183,True,False,,core_nonempty
7,B_medium,42,nearest_neighbor,2.6458,2.0,0.3562,9.4339,8.2919,1.1377,3.7104,1.1279,127,7,False,0.040607,True,True,1.134200996709929,single_complement
7,B_medium,42,cheapest_insertion,2.6458,2.0,0.3562,9.3166,8.2919,1.1236,3.7104,1.1279,127,7,True,-0.018057,True,False,1.134200996709929,core_nonempty
7,B_medium,42,batch_reoptimize,2.6458,2.0,0.3562,9.3166,8.2919,1.1236,3.7104,1.1279,127,7,True,-0.018057,True,False,1.134200996709929,core_nonempty
7,B_medium,99,nearest_neighbor,2.6458,2.0,0.3562,9.9986,7.838,1.2757,3.8005,1.2023,127,7,False,1.014158,True,True,1.1247064406252514,single_complement
7,B_medium,99,cheapest_insertion,2.6458,2.0,0.3562,9.0444,7.838,1.1539,3.8005,1.2023,127,7,False,0.217483,True,False,1.1247064406252514,near_complement
7,B_medium,99,batch_reoptimize,2.6458,2.0,0.3562,8.8941,7.838,1.1347,3.8005,1.2023,127,7,False,0.092165,True,False,1.1247064406252514,near_complement
7,B_medium,123,nearest_neighbor,2.6458,2.0,0.3562,9.4027,7.8694,1.1948,3.5295,1.2448,95,6,True,-0.196397,True,False,,core_nonempty
7,B_medium,123,cheapest_insertion,2.6458,2.0,0.3562,8.442,7.8694,1.0728,3.5295,1.2448,95,6,True,-0.676737,True,False,,core_nonempty
7,B_medium,123,batch_reoptimize,2.6458,2.0,0.3562,8.442,7.8694,1.0728,3.5295,1.2448,95,6,True,-0.676737,True,False,,core_nonempty
7,B_medium,256,nearest_neighbor,2.6458,2.0,0.3562,9.3998,6.5444,1.4363,3.2983,,63,5,False,0.02818,False,False,,intermediate
7,B_medium,256,cheapest_insertion,2.6458,2.0,0.3562,7.3601,6.5444,1.1246,3.2983,,63,5,True,-0.991681,False,False,,core_nonempty
7,B_medium,256,batch_reoptimize,2.6458,2.0,0.3562,7.3601,6.5444,1.1246,3.2983,,63,5,True,-0.991681,False,False,,core_nonempty
7,B_light,7,nearest_neighbor,2.6458,0.5,1.4248,12.0857,8.2041,1.4731,3.3917,,13,2,True,-1.734109,False,False,,core_nonempty
7,B_light,7,cheapest_insertion,2.6458,0.5,1.4248,12.0857,8.2041,1.4731,3.3917,,13,2,True,-1.734109,False,False,,core_nonempty
7,B_light,7,batch_reoptimize,2.6458,0.5,1.4248,12.0857,8.2041,1.4731,3.3917,,13,2,True,-1.734109,False,False,,core_nonempty
7,B_light,42,nearest_neighbor,2.6458,0.5,1.4248,14.8282,8.2919,1.7883,3.7104,,19,3,True,-1.037256,False,False,,core_nonempty
7,B_light,42,cheapest_insertion,2.6458,0.5,1.4248,14.7603,8.2919,1.7801,3.7104,,19,3,True,-1.054237,False,False,,core_nonempty
7,B_light,42,batch_reoptimize,2.6458,0.5,1.4248,14.7603,8.2919,1.7801,3.7104,,19,3,True,-1.054237,False,False,,core_nonempty
7,B_light,99,nearest_neighbor,2.6458,0.5,1.4248,13.5715,7.838,1.7315,3.8005,,15,3,True,-1.542933,False,False,,core_nonempty
7,B_light,99,cheapest_insertion,2.6458,0.5,1.4248,13.5715,7.838,1.7315,3.8005,,15,3,True,-1.542933,False,False,,core_nonempty
7,B_light,99,batch_reoptimize,2.6458,0.5,1.4248,13.5715,7.838,1.7315,3.8005,,15,3,True,-1.542933,False,False,,core_nonempty
7,B_light,123,nearest_neighbor,2.6458,0.5,1.4248,11.1998,7.8694,1.4232,3.5295,,12,2,True,-1.806746,False,False,,core_nonempty
7,B_light,123,cheapest_insertion,2.6458,0.5,1.4248,11.1998,7.8694,1.4232,3.5295,,12,2,True,-1.806746,False,False,,core_nonempty
7,B_light,123,batch_reoptimize,2.6458,0.5,1.4248,11.1998,7.8694,1.4232,3.5295,,12,2,True,-1.806746,False,False,,core_nonempty
7,B_light,256,nearest_neighbor,2.6458,0.5,1.4248,10.8918,6.5444,1.6643,3.2983,,10,2,True,-1.203475,False,False,,core_nonempty
7,B_light,256,cheapest_insertion,2.6458,0.5,1.4248,10.8918,6.5444,1.6643,3.2983,,10,2,True,-1.203475,False,False,,core_nonempty
7,B_light,256,batch_reoptimize,2.6458,0.5,1.4248,10.8918,6.5444,1.6643,3.2983,,10,2,True,-1.203475,False,False,,core_nonempty
